OBSERVATION.DATE LONGITUDE LATITUDE
2024-03-11 81.7468777 25.3739965
2022-12-18 78.2189012 27.8592628
2022-12-11 78.2189012 27.8592628
2023-01-08 78.2189012 27.8592628
2023-01-25 78.2189012 27.8592628
2023-02-05 78.2189012 27.8592628
2023-11-05 78.2189012 27.8592628
2023-05-07 81.4758539 27.1021125
2022-01-30 82.089425 26.7993928
2024-01-26 82.1271006 26.7993471
2024-01-23 82.1168117 26.7931317
2024-01-20 82.1122808 26.7762882
2024-01-20 82.116875 26.78863
2024-01-30 82.1171932 26.7833092
2024-01-23 82.1023995 26.782816
2024-01-29 82.1271006 26.7993471
2024-01-24 82.116875 26.78863
2024-01-30 82.116875 26.78863
2024-01-26 82.1114721 26.7809001
2024-01-22 82.116875 26.78863
2024-01-24 82.1159256 26.7836032
2024-01-29 82.113993 26.7777513
2024-01-22 82.1170527 26.7832655
2024-02-10 82.1168117 26.7931317
2024-02-13 82.116875 26.78863
2024-02-17 82.0975725 26.783805
2024-02-19 82.1118003 26.7899375
2024-02-06 82.1053429 26.7889851
2024-02-07 82.0965979 26.7876222
2024-02-10 82.0184601 26.7820393
2024-02-06 82.1168117 26.7931317
2024-02-17 82.1174668 26.7899569
2024-02-13 82.1168757 26.7832102
2024-02-16 82.1172962 26.7908449
2024-02-24 82.0774506 26.8078219
2024-02-07 82.1050508 26.7914583
2024-02-25 82.1118003 26.7899375
2024-02-25 82.1176086 26.7854436
2024-02-25 82.1184615 26.78632
2024-02-24 82.1162846 26.7924641
2024-02-16 82.0975725 26.783805
2024-02-18 82.1118003 26.7899375
2024-03-13 82.0969854 26.789035
2024-03-13 82.116686 26.7923877
2023-11-28 78.2551432 27.6506407
2023-12-31 78.2551432 27.6506407
2022-12-25 80.7136544 28.4747942
2022-12-24 80.443109 28.384785
2023-02-18 80.8430212 28.4486749
2023-02-19 80.6563864 28.5127236
2023-02-17 80.7663774 28.460014
2023-02-23 80.432075 28.3944103
2023-02-21 80.5887679 28.4915908
2023-02-20 80.6815835 28.4459637
2023-04-04 80.6464706 28.4911818
2023-04-15 80.7663774 28.460014
2023-04-08 80.8445977 28.4403158
2023-04-08 80.7068068 28.4679501
2023-04-14 80.8445977 28.4403158
2023-04-13 80.6467211 28.4904207
2023-04-12 80.7183491 28.3528423
2023-04-07 80.6464706 28.4911818
2023-04-09 80.4408765 28.389406
2023-04-10 80.5890117 28.4927212
2023-04-07 80.6703822 28.4351827
2023-04-14 80.8693181 28.4100314
2023-05-03 80.8429327 28.4487372
2023-05-03 80.7226612 28.3493381
2023-05-01 80.7663774 28.460014
2023-11-02 80.4498648 28.387281
2023-11-13 80.549415 28.3780906
2023-12-09 80.443109 28.384785
2024-02-19 80.6464706 28.4911818
2024-02-09 80.5834417 28.4528585
2023-02-26 81.0189579 26.8083421
2023-03-05 81.0189579 26.8083421
2022-11-30 80.0953939 28.6996039
2022-12-19 80.1052774 28.6919571
2023-05-28 80.1489383 28.7341261
2024-02-05 80.23379 28.5358333
2024-02-05 80.1489383 28.7341261
2024-02-06 80.23379 28.5358333
2022-12-31 88.2948768 22.7954898
2023-12-24 88.3209157 22.68284
2021-12-29 87.994167 22.465344
2023-01-15 87.8858138 22.448258
2023-11-24 87.964075 22.496458
2023-11-16 87.9615451 22.572721
2023-11-21 87.994167 22.465344
2023-11-23 87.994167 22.465344
2023-12-03 87.964075 22.496458
2024-02-29 87.9669169 22.5146188
2022-12-31 87.9770337 24.9578841
2023-12-03 87.9770337 24.9578841
2024-01-07 87.876947 21.7764729
2024-01-19 87.8759426 21.7739176
2023-03-02 88.425107 22.7878884
2023-03-17 88.425107 22.7878884
2022-12-24 88.3906103 22.3626971
2022-12-24 88.3931208 22.355434
2022-12-24 88.39002 22.3588
2022-12-22 88.3906103 22.3626971
2023-12-26 88.3906103 22.3626971
2024-01-08 88.3906103 22.3626971
2024-01-06 88.3861674 22.35392
2024-01-06 88.3906103 22.3626971
2024-01-13 88.3906103 22.3626971
2024-01-14 88.3906103 22.3626971
2024-01-09 88.3906103 22.3626971
2024-01-05 88.3906103 22.3626971
2024-01-06 88.3921481 22.3638295
2024-01-08 88.3897231 22.3586655
2024-01-07 88.3906103 22.3626971
2024-01-04 88.3906103 22.3626971
2024-01-21 88.3906103 22.3626971
2024-01-27 88.3906103 22.3626971
2024-01-06 88.3856007 22.3548898
2024-01-12 88.3906103 22.3626971
2024-01-07 88.38627 22.353875
2024-01-23 88.3906103 22.3626971
2023-03-11 84.3406866 27.4306374
2023-06-16 85.3593303 27.6889241
2023-06-11 85.3580326 27.6893477
2023-06-15 85.3593391 27.6895753
2023-06-15 85.3603088 27.6893159
2023-06-10 85.3580326 27.6893477
2023-06-14 85.3622671 27.693414
2023-06-15 85.358574 27.688989
2023-06-15 85.359478 27.6934843
2016-08-07 83.88 28.5
2017-05-22 83.9432716 28.3909146
2017-05-25 83.9432716 28.3909146
2022-05-18 83.9511375 28.4173807
2022-05-25 84.0207502 28.3893174
2022-05-26 84.0206098 28.3873029
2018-02-24 83.1017876 27.621338
2023-02-27 83.1017876 27.621338
2017-02-05 83.2942666 27.4916635
2023-02-26 83.294302 27.4974394
2022-12-10 80.9593222 28.7081138
2020-03-11 80.2266544 28.8737608
2024-05-21 26.91797 94.16748
2024-05-16 27.596451 95.36518
2024-05-18 29.130871 79.290562
2024-05-16 30.05513 80.205457
2024-05-18 29.130871 79.290562
2024-05-18 29.130871 79.290562
2024-03-09 28.480000 76.920000
2024-03-29 28.480000 76.920000
